State,Bill#,Description,Type,Status
AK,H2001,Abortion Coverage Restricted in Medicaid,Insurance Coverage,Introduced
AK,H206,All or Most Abortions Banned,Abortion Ban,Introduced
AK,H215,All or Most Abortions Banned,Abortion Ban,Introduced
AK,H216,Abortion Coverage Restricted in Medicaid,Insurance Coverage,Introduced
AK,H69,Abortion Coverage Restricted in Medicaid,Insurance Coverage,Enacted
AK,SJR4,Weakens Abortion Protections in State Constitution,State Constitutional Protections,Introduced
AL,H237,"In May, Gov. Kay Ivey (R) signed legislation (H 237) that requires physicians to preserve the life of a fetus delivered alive after an abortion. The law is scheduled to take effect in August.",Provider-Specific Restrictions,Enacted
AL,H317,Counseling on the Potential to Reverse a Medication Abortion,Mandatory Counseling and Waiting Periods,Introduced
AL,H377,Bans the Use of Medication Abortion,Medication Abortion,Introduced
AL,H620,Limits Abortion Training Opportunities,Provider-Specific Restrictions,Introduced
AR,H1195,"Targeted regulation of abortion providers; In February, Gov. Asa Hutchinson (R) signed a bill (H1195) creating a state program that provides information on pregnancy-related services. People seeking abortion care are required to contact the program and be offered pregnancy support, parenting resources, and care coordination; the program cannot refer them to abortion services. Prior to receiving payment for or performing an abortion, providers must report each patient to a state database and record an assigned resource consultation ID in the patient’s medical record. Providers must also report each abortion within two business days of its completion. In addition, the law requires at least annual random, unannounced audits of at minimum 10% of abortion facility and provider records. The law is scheduled to take effect in January 2023.",Clinic Regulation,Enacted
AR,H1402,"Targeted regulation of abortion providers; In April, Gov. Asa Hutchinson (R) approved a measure (H 1402) that requires providers of medication abortion to follow a state-mandated protocol rather than the one recommended by the Food and Drug Administration or a medical organization. Under the state’s protocol, medication abortion must be provided in-person, and patients must receive a physical examination prior to receiving the medication. Physicians must also schedule an in-person follow-up after the abortion is complete. In addition, the measure requires medication abortion providers to have an emergency transfer agreement with a hospital or have an agreement with another provider who does. The law is scheduled to take effect in July.",Clinic Regulation,Enacted
AR,H1572,"In April, Gov. Asa Hutchinson (R) approved a measure (H 1572) that requires abortion providers to tell patients about medication abortion “reversal” during preabortion counseling. The measure also creates additional abortion reporting requirements for medication abortion, including detailed information about the patient’s pregnancy history and reason for the abortion. Individual abortion reports must be filed within 15 days of the procedure. Currently providers are required to submit reports once a year. The law is scheduled to take effect in July.",Mandatory Counseling and Waiting Periods,Enacted
AR,H1589,"In April, Gov. Asa Hutchinson (R) approved a measure (H 1589) that prohibits state and local governments from funding, contracting with, or supporting abortion providers and their affiliates with taxpayer funds, except when an abortion is required to save a person’s life. The measure is scheduled to take effect in July.",Insurance Coverage,Enacted
AR,S289,"Allows refusal by medical providers; In March, Gov. Asa Hutchinson (R) signed a measure (S 289) that creates a broad refusal clause for health care providers (including physicians, nurses, medical technicians, pharmacists, researchers and social workers), facilities and insurers. Under the law, individuals and institutions may refuse to provide any health care service, counseling or referral based on their religious, moral or ethical beliefs. Providers and institutions are not required to provide referrals when they refuse to provide care. The law is scheduled to take effect in June.",Expanding Refusal,Enacted
